 number=1, yearStr='-320', year=-320, x=2003, y=890, name='001 - Aeg S 20', artist='Ägyptisch', tags='Ägypten	Antike	Skulptur; Statuette	x	x	Herrschermacht	Granit'
 number=2, yearStr='-320', year=-320, x=1939, y=891, name='002 - 10.694_a', artist='Hellenistisches Vorderasien', tags='x	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Silber'
 number=2, yearStr='-320', year=-320, x=1939, y=891, name='002 - 10.694_b', artist='Hellenistisches Vorderasien', tags='x	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Silber'
 number=2, yearStr='-320', year=-320, x=1939, y=891, name='002 - L 717_a', artist='Hellenistisches Vorderasien', tags='x	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Silber'
 number=2, yearStr='-320', year=-320, x=1939, y=891, name='002 - L 717_b', artist='Hellenistisches Vorderasien', tags='x	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Silber'
 number=3, yearStr='54', year=54, x=1712, y=889, name='003 - Gem 300', artist='Römisch', tags='Italien	Antike	Kunsthandwerk	Mythologie	x	x	Edelstein'
 number=4, yearStr='30', year=30, x=1758, y=890, name='004 - 10.788_a', artist='Frühe römische Kaiserzeit', tags='Italien	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Gold'
 number=4, yearStr='30', year=30, x=1758, y=890, name='004 - 10.788_b', artist='Frühe römische Kaiserzeit', tags='Italien	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Gold'
 number=4, yearStr='60', year=60, x=1758, y=890, name='004 - 10.794_a', artist='Frühe römische Kaiserzeit', tags='Italien	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Gold'
 number=4, yearStr='60', year=60, x=1758, y=890, name='004 - 10.794_b', artist='Frühe römische Kaiserzeit', tags='Italien	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Gold'
 number=4, yearStr='71', year=71, x=1758, y=890, name='004 - 10.801_a', artist='Frühe römische Kaiserzeit', tags='Italien	Antike	Kunsthandwerk; Münzen	x	x	Herrschermacht	Gold'
